trabajos_realizados,clasificacion,lugar,cliente
Modernización del sistema de transferencia eléctrica de planta de emergencia.,Proyecto,,Aeropuerto y servicios auxiliares
Pruebas y calibración de relevadores de potencia en planta eléctrica.,Servicio,Jalisco,Biopapel Atenquique
"Suministro, calibración y puesta en marcha de gobernadores electrónicos de velocidad 2301 y 505 Woodwar.",Servicio,Campeche,Ingenio La Joya
"Suministro, pruebas eléctricas preoperatorias, puesta en marcha y pruebas de desempeño a un UPS 10 KVA y transformador acondicionador de línea con Banco de baterías de 295 Ah.",Servicio,Campeche,Servicios Marítimos de Campeche / Pemex
"Ingeniera, instalación y puesta en marcha de equipos DSCL II Y MSCL marca Woodward para sincronización de 4 turbogeneradores, así como un sistema de monitoreo de vibración.",Proyecto,,Ingenio Santa Ana
"Ingeniería, suministro y puesta en marcha de celda de sincronía del sistema de cogeneración. Con los equipos MSCL II, MSCLII y DECS250 en tablero de control.",Proyecto,Oaxaca,Ingenio Adolfo López Mateos
Modernización del sistema de control de velocidad con gobernador electrónico 505 de Woodward.,Servicio,Morelos,Ingenio Emiliano Zapata
Modernización del sistema de excitación con DECS250 para Motor Wärtsilä 38.,Proyecto,,Lufussa -Pavana
"Pruebas eléctricas, puesta en marcha a subestación eléctrica integrada por tableros de distribución Metal Clad Schneider Electric en MT. UPS 10KVA y cargador de baterías de 100 Amp. Instalación, pruebas y puesta en marcha a transformador de 1500 KVA.",Servicio,Campeche,Plataforma MALOOB D AAP C – ZAAP B - Pemex
"Pruebas eléctricas, puesta en marcha a subestación eléctrica integrada por tableros de distribución Metal Clad, transformador de 1500 KVA y UPS.",Servicio,Campeche,MALOOB D Pemex
"Pruebas eléctricas, puesta en marcha y a subestación eléctrica integrada por tableros de distribución Metal Clad, transformador de 1000 KVA y UPS.",Servicio,Campeche,Plataforma ZAAP E - Pemex
"Suministro y puesta en marcha de materiales para incremento de capacidad operativa en subestación eléctrica no. 5, 4160 Volts. Con pruebas eléctricas.",Servicio EPC,Veracruz,IngenioTres Valles
"Suministro, instalación y pruebas de: Interruptor principal 800 Amperes en 4160 Volts tipo Metal Clad, Mc. Siemens que alimenta un transformador en resina epóxica 1500 KVA en 4160 /480 Volts, y su resistencia de puesta a tierra, para proyecto de enlace eléctrico en media tensión y baja tensión en centro de proceso Marino; Pruebas eléctricas preoperatorias, puesta en marcha y pruebas de desempeño a subestación eléctrica, integrada por tableros de distribución Metal Clad 4160 V.",Servicio,Campeche,Campeche Litoral-A. -Pemex
